	βarrestine 1											βarrestine 2											βarrestine 2-GRK2											βarrestine 2-GRK5											βarrestine 2-GRK6											cAMP											Gαi1											Gαi2											Gαo											Kir										
	pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM		pEC50	SEM	Emax	SEM	∆Logτ	SEM 	pLog KA	SEM	Log(τ/KA)	SEM	
Buprenorphine	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	4	NF	NF	NF	NF	NA	NA	NA	NA	3.5030	0.1690	4	8.5190	0.0919	101.3000	4.5260	NA	NA	NA	NA	8.4540	0.0713	7	7.3470	0.2022	13.3400	1.3050	0.191	0.05827	7.004	0.1933	5.5080	0.1637	5	7.0500	0.1175	72.8400	4.2200	1.5027	0.080392151	6.491	0.09176	6.7320	0.0616	4	7.4420	0.1400	42.3800	4.3650	0.4997	0.083069937	7.203	0.08233	6.6100	0.0692	5	5.3150	0.0591	63.5000	6.5500	NA	NA	NA	NA	4.8770	0.0637	6
Fentanyl	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	4	4.7660	0.2798	14.4400	2.9030	0.8488	0.109391924	4.799	0.2477	4.0240	0.1792	3	5.0350	0.3293	16.3100	3.3300	1.0239	0.133411229	4.988	0.2986	4.2310	0.2243	3	5.2990	0.1321	30.4400	2.2380	0.6472	0.087931051	5.105	0.1416	4.7290	0.1041	5	4.7420	0.1598	26.1300	3.0400	0.8338	0.118238131	4.531	0.2011	3.9970	0.1219	5	7.9090	0.0704	95.4100	3.2370	NA	NA	NA	NA	8.1080	0.0615	16	5.5810	0.1275	21.7100	1.4030	0.607	0.0471	5.273	0.1289	4.1930	0.0996	5	5.7920	0.0782	98.7500	5.4860	2.2389	0.106836103	4.682	0.1079	5.6590	0.0393	4	5.6080	0.0631	46.5600	1.5020	0.7243	0.085082934	5.094	0.07176	4.7270	0.0502	5	7.4900	0.4456	-16.2900	3.8880	NF	NF	NF	NF	NF	NF	5
Loperamide	4.5650	0.0447	39.7200	2.0400	1.4702	0.184086105	3.803	0.2113	4.0470	0.0635	3	4.7970	0.2189	35.5600	5.4870	1.365	0.11841225	4.627	0.2253	4.3670	0.1451	3	5.1180	0.1832	35.1300	4.0630	1.504	0.117518426	4.902	0.1903	4.6250	0.1282	3	5.0570	0.0961	55.1900	3.3620	1.248	0.111499511	4.485	0.1459	4.7120	0.0740	4	4.9110	0.0960	48.4800	3.5050	1.2287	0.103293698	4.771	0.1523	4.6320	0.0914	4	7.0580	0.0563	114.1000	3.1000	NA	NA	NA	NA	7.2780	0.0571	16	5.3000	0.1273	62.2400	4.4130	1.58875	0.1041	4.616	0.1825	4.5180	0.1014	5	5.8090	0.0650	118.3000	5.4210	NA	NA	NA	NA	5.7890	0.0393	4	5.6990	0.0558	88.8900	2.4920	1.5717	0.101748749	4.797	0.09841	5.2770	0.0499	5	5.3870	0.0429	253.0000	15.0900	NA	NA	NA	NA	5.5420	0.0717	5
Met-Enk	6.2180	0.0200	99.4800	0.9327	NA	NA	NA	NA	6.2400	0.0175	16	6.2830	0.0173	100.3000	0.7972	NA	NA	NA	NA	6.2800	0.0141	18	6.5500	0.0143	100.0000	0.6256	NA	NA	NA	NA	6.5720	0.0144	18	7.0490	0.0246	102.5000	1.3470	NA	NA	NA	NA	7.1160	0.0208	15	6.8590	0.0199	99.3800	1.0750	NA	NA	NA	NA	6.8820	0.0191	15	9.0720	0.0551	103.9000	3.0980	0.6343	0.188552211	7.516	0.1045	8.9850	0.0380	37	6.1410	0.2597	107.8000	16.1000	1.8276	0.05683	5.778	0.1139	5.9180	0.0369	22	7.1970	0.0505	111.3000	3.5660	2.44	0.083951017	5.845	0.06729	7.0230	0.0271	22	6.5990	0.1214	103.9000	3.9700	1.4309	0.093605327	6.25	0.09383	6.5890	0.0626	25	7.2890	0.0535	100.5000	2.4360	1.0639	0.100459546	6.649	0.07296	7.2680	0.0458	17
Morphine	NF	NF	NF	NF	NR	NR	NR	NR	NR	NR	3	NF	NF	NF	NF	NR	NR	NR	NR	NR	NR	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	4.8400	0.2256	27.5500	4.4010	0.4694	0.15172772	4.59	0.2912	4.0350	0.1841	4	4.8270	0.2254	16.3500	2.6560	0.5217	0.113156163	4.783	0.2166	3.9370	0.1469	4	7.7050	0.0717	120.6000	10.6900	NA	NA	NA	NA	8.1850	0.0844	16	5.3970	0.1284	37.7600	2.6180	1.0661	0.06875	4.881	0.1496	4.2600	0.1002	5	5.9500	0.0663	98.1100	3.1550	2.949	0.33079368	4.063	0.3459	5.7500	0.0461	4	5.8080	0.0541	70.8400	1.8900	1.2157	0.086980304	5.111	0.0693	5.2350	0.0443	5	5.1730	0.1139	63.8600	4.1920	0.4449533	0.104270053	5.053	0.1268	5.0530	0.0906	6
Oxycodone	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	4.5840	0.2166	11.8600	3.2300	0.7847	0.171913135	4.82	0.4126	3.8240	0.2986	3	4.5030	0.1139	25.6200	2.2900	NA	NA	NA	NA	3.1500	0.1285	4	4.2540	0.2126	14.0500	2.3000	NA	NA	NA	NA	3.0230	0.1075	4	6.6480	0.0590	110.1000	3.1170	NA	NA	NA	NA	6.6320	0.0504	16	5.1910	0.1745	21.6700	2.6060	0.655	0.1769	4.554	0.2911	3.5220	0.1332	5	5.5040	0.0753	90.0200	3.5470	2.637	0.304352523	3.834	0.3251	5.2080	0.0477	4	4.9100	0.0871	66.1400	3.8030	1.2238	0.135742387	4.127	0.1584	4.2590	0.0607	5	4.3350	0.1336	52.0100	9.6590	NA	NA	NA	NA	3.7220	0.0693	4
Cmp 1	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	3	4.5690	0.0473	49.2800	2.8800	NA	NA	NA	NA	4.1890	0.0476	3	4.6210	0.0924	45.1000	3.2300	2.2136	0.389523139	3.656	0.4735	4.0880	0.1083	3	5.1090	0.0489	43.7800	2.3500	1.154	0.110256779	4.394	0.144	4.5260	0.0716	4	4.8970	0.0975	47.2200	3.1250	1.4749	0.114659529	4.534	0.161	4.6410	0.0863	4	6.5220	0.0982	111.0000	5.9470	NA	NA	NA	NA	6.6530	0.0737	6	NR	NR	NR	NR	0	0.08399	5.32	0.2257	3.6330	0.1695	5	5.7380	0.1640	81.6000	8.5300	1.489	0.085417509	5.157	0.101	5.3840	0.0629	4	5.4300	0.1645	22.39	2.2630	0.1109	0.115860932	5.068	0.1834	3.5180	0.0544	5	6.6670	0.1913	-48.2000	4.5960	NA	NA	NA	NA	NA	NA	6
Cmp 3	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	0	0.09032582	8.277	0.4685	6.6530	0.4465	3	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	3	7.1840	0.1581	15.7100	1.1550	0	0.096831203	6.812	0.3212	5.7870	0.2918	3	NR	NR	NR	NR	0.031	0.088989616	6.876	0.2806	5.5390	0.2562	3	8.9530	0.1162	97.7200	6.2600	NA	NA	NA	NA	8.6360	0.0924	7	7.2040	0.1606	49.4500	4.7880	1.1368	0.02992	6.703	0.09901	6.1520	0.0854	5	7.5230	0.1383	45.6000	3.5030	1.0014	0.080566934	7.007	0.131	6.7460	0.1060	7	7.5920	0.2329	53.5000	7.5190	0.8191	0.100521218	7.068	0.203	6.7950	0.1760	5	6.9140	0.2581	42.2700	5.4200	0.1796	0.107739522	6.765	0.2182	6.5000	0.1867	9
Cmp 4	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	0.018	0.103317186	7.051	0.4929	5.4460	0.4596	3	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	3	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	3	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	3	8.3200	0.0819	104.1000	4.1670	NA	NA	NA	NA	8.1520	0.0671	7	6.4400	0.1615	23.4800	1.7820	0.642	0.04485	6.086	0.1512	5.0400	0.1289	5	5.9120	0.2530	45.0100	7.0750	0.7567	0.076283532	5.844	0.1149	5.3380	0.0928	7	6.5310	0.1374	30.7200	1.9650	0.3304	0.087511291	6.13	0.1272	5.3680	0.1086	5	5.8600	0.2376	45.8100	4.7920	0.2531	0.106229873	5.81	0.2062	5.6190	0.1777	5
Cmp 5	5.5080	0.0517	61.1800	1.8130	1.5664	0.108825266	4.895	0.08473	5.2350	0.0500	3	5.5340	0.0412	69.5100	1.5830	2.0346	0.073974045	4.968	0.06586	5.3780	0.0384	3	5.7640	0.0411	82.9200	1.6850	2.5815	0.102081705	4.863	0.07946	3.6280	0.5454	3	6.2190	0.0367	98.6300	2.2490	NA	NA	NA	NA	6.2310	0.0235	3	6.0470	0.0325	88.9800	1.4000	2.754	0.147122628	4.576	0.1453	5.9620	0.0303	3	10.1900	0.1272	86.9600	5.1910	0.0414	0.213147109	9.054	0.193	9.9300	0.1052	7	6.0720	0.1128	112.9000	8.6000	2.3235	0.07615	5.108	0.1147	5.7450	0.0605	3	6.5230	0.0668	108.8000	4.6890	2.539	0.120279252	5.052	0.1211	6.3290	0.0406	4	6.7310	0.0974	100.2000	4.7280	1.9583	0.124193668	5.605	0.1374	6.4710	0.0728	6	6.6440	0.1351	95.0500	6.2680	0.997	0.127181906	6.126	0.1559	6.6790	0.0988	5
Cmp 6	NR	NR	NR	NR	NF	NF	NF	NF	NF	NF	3	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3	NR	NR	NR	NR	0	0.118525239	8.465	0.5444	6.6840	0.5144	3	6.1900	0.0948	11.9400	0.5711	0.029	0.078042574	6.236	0.1372	5.2400	0.1164	3	NR	NR	NR	NR	0	0.095798827	6.132	0.2478	4.7640	0.2088	3	7.7160	0.1394	92.0900	6.0040	0.3053	0.302847965	6.336	0.3126	7.4750	0.1176	7	5.5510	0.2189	24.7500	3.2980	0.725	0.1197	5.118	0.2497	4.1560	0.1562	3	6.0870	0.1181	42.9300	2.6190	0.9834	0.089348211	5.562	0.1299	5.2830	0.0873	4	5.8650	0.1479	42.5700	3.4760	0.6505	0.112969791	5.362	0.1712	4.9200	0.1120	4	5.9660	0.3070	32.1000	5.0410	0	0.12866515	5.787	0.3123	5.3430	0.2488	4
Cmp 7	4.2500	0.0570	23.9800	2.0400	NA	NA	NA	NA	3.4620	0.0459	3	4.3850	0.1219	27.0700	2.8800	NA	NA	NA	NA	3.4810	0.0502	3	4.1400	0.1348	55.5600	9.0890	1.8819	0.198827076	3.755	0.2367	3.8560	0.0649	3	4.5010	0.0530	67.6100	3.2670	2.519	2.001171692	2.618	2.048	4.1170	0.0313	3	4.4220	0.0504	44.3200	2.3000	NA	NA	NA	NA	3.8740	0.0214	3	7.1870	0.1435	93.0800	6.2700	0.6753	0.613389151	5.492	0.6458	7.0020	0.1162	7	4.9830	0.0939	115.5000	8.5010	2.817	0.2614	3.552	0.2868	4.6810	0.0369	3	5.3560	0.0636	100.6000	3.3920	NA	NA	NA	NA	5.2110	0.0371	4	5.2790	0.0777	115.4000	5.0270	NA	NA	NA	NA	5.0630	0.0465	4	5.0510	0.0648	135.9000	6.6000	0.8164	0.170586783	5.1	0.2276	5.4720	0.1018	4
