NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	3.503	0.169	8.519	0.0919	101.3	4.526	8.454	0.07127	7.347	0.2022	13.34	1.305	5.508	0.1637	7.05	0.1175	72.84	4.22	6.732	0.06156	7.442	0.14	42.38	4.365	6.61	0.06924	5.315	0.05909	63.5	6.55	4.877	0.06367
NR	NR	0	0	0	0	4.766	0.2798	14.44	2.903	4.024	0.1792	5.035	0.3293	16.31	3.33	4.231	0.2243	5.299	0.1321	30.44	2.238	4.729	0.1041	4.742	0.1598	26.13	3.04	3.997	0.1219	7.909	0.07044	95.41	3.237	8.108	0.06148	5.581	0.1275	21.71	1.403	4.193	0.09955	5.792	0.0782	98.75	5.486	5.659	0.03929	5.608	0.06307	46.56	1.502	4.727	0.05019	7.49	0.4456	-16.29	3.888	0	0
4.563	0.04306	40.8	2.08	4.047	0.06353	4.797	0.2189	35.56	5.487	4.367	0.1451	5.118	0.1832	35.13	4.063	4.625	0.1282	5.057	0.09611	55.19	3.362	4.712	0.07395	4.911	0.09597	48.48	3.505	4.632	0.09139	7.058	0.05628	114.1	3.1	7.278	0.05712	5.3	0.1273	62.24	4.413	4.518	0.1014	5.809	0.06501	118.3	5.421	5.789	0.03925	5.699	0.05582	88.89	2.492	5.277	0.0499	5.387	0.04293	253	15.09	5.542	0.0717
6.218	0.02003	99.48	0.9327	6.24	0.0175	6.283	0.01734	100.3	0.7972	6.28	0.01406	6.55	0.01433	100	0.6256	6.572	0.0144	7.049	0.02462	102.5	1.347	7.116	0.02076	6.859	0.01993	99.38	1.075	6.882	0.01907	9.072	0.05508	103.9	3.098	8.985	0.03797	6.141	0.2597	107.8	16.1	5.918	0.03689	7.197	0.05045	111.3	3.566	7.023	0.02705	6.599	0.1214	103.9	3.96	6.589	0.06256	7.289	0.05346	100.5	2.436	7.268	0.0458
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	4.84	0.2256	27.55	4.401	4.035	0.1841	4.827	0.2254	16.35	2.656	3.937	0.1469	7.705	0.07165	120.6	10.69	8.185	0.08442	5.397	0.1284	37.76	2.618	4.26	0.1002	5.95	0.06632	98.11	3.155	5.75	0.04609	5.808	0.0541	70.84	1.89	5.235	0.04428	5.173	0.1139	63.86	4.192	5.053	0.09061
NR	NR	0	0	0	0	NR	NR	0	0	0	0	4.875	0.3095	8.374	3.88	3.824	0.2986	4.306	0.091	20.86	2.28	3.15	0.1285	4.254	0.2126	14.05	2.26	3.023	0.1075	6.648	0.05896	110.1	3.117	6.632	0.05036	5.191	0.1745	21.67	2.606	3.522	0.1332	5.504	0.07527	90.02	3.547	5.208	0.04773	4.91	0.08705	66.14	3.803	4.259	0.0607	4.335	0.1336	52.01	9.659	3.722	0.06931
NR	NR	0	0	0	0	4.426	0.04381	60.85	2.88	4.189	0.04761	4.619	0.09209	45.23	3.88	4.088	0.1083	5.109	0.04889	43.78	2.35	4.526	0.07159	4.897	0.09747	47.22	3.125	4.641	0.08634	6.522	0.09817	111	5.947	6.653	0.07371	NR	NR	0	0	3.633	0.1695	5.738	0.164	81.6	8.53	5.384	0.06293	5.43	0.1645	-5.43	2.263	3.518	0.05435	6.667	0.1913	-48.2	4.596	0	0
NR	NR	0	0	0	0	NR	NR	0	0	6.653	0.4465	NR	NR	0	0	0	0	7.184	0.1581	15.71	1.155	5.787	0.2918	NR	NR	0	0	5.539	0.2562	8.953	0.1162	97.72	6.26	8.636	0.09239	7.204	0.1606	49.45	4.788	6.152	0.08538	7.523	0.1383	45.6	3.503	6.746	0.106	7.592	0.2329	53.5	7.519	6.795	0.176	6.914	0.2581	42.27	5.42	6.5	0.1867
NR	NR	0	0	0	0	NR	NR	0	0	5.446	0.4596	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	8.32	0.08186	104.1	4.167	8.152	0.06714	6.44	0.1615	23.48	1.782	5.04	0.1289	5.912	0.253	45.01	7.075	5.338	0.09276	6.531	0.1374	30.72	1.965	5.368	0.1086	5.86	0.2376	45.81	4.792	5.619	0.1777
5.508	0.05172	61.18	1.813	5.235	0.04996	5.534	0.04122	69.51	1.583	5.378	0.03835	5.764	0.04107	82.92	1.685	3.628	0.5454	6.219	0.03673	98.63	2.249	6.231	0.02354	6.047	0.03253	88.98	1.4	5.962	0.03027	10.19	0.1272	86.96	5.191	9.93	0.1052	6.072	0.1128	112.9	8.6	5.745	0.06047	6.523	0.06678	108.8	4.689	6.329	0.0406	6.731	0.09743	100.2	4.728	6.471	0.0728	6.644	0.1351	95.05	6.268	6.679	0.09876
