	βarrestine 1			βarrestine 2			βarrestine 2 + GRK2			βarrestine 2 + GRK5			βarrestine 2 + GRK6			EPAC			Gαi1			Gαi2			Gαo			Kir		
	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R
Buprenorphine	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	3.503	8.519	101.3	8.454	7.347	13.34	5.508	7.05	72.84	6.732	7.442	42.38	6.61	5.315	63.5	4.877
Fentanyl	NR	NR	NF	4.766	14.44	4.024	5.035	16.31	4.231	5.299	30.44	4.729	4.742	26.13	3.997	7.909	95.41	8.108	5.581	21.71	4.193	5.792	98.75	5.659	5.608	46.56	4.727	7.49	-16.29	NF
Loperamide	4.563	40.8	4.047	4.797	35.56	4.367	5.118	35.13	4.625	5.057	55.19	4.712	4.911	48.48	4.632	7.058	114.1	7.278	5.3	62.24	4.518	5.809	118.3	5.789	5.699	88.89	5.277	5.387	253	5.542
Met-Enk	6.218	99.48	6.24	6.283	100.3	6.28	6.55	100	6.572	7.049	102.5	7.116	6.859	99.38	6.882	9.072	103.9	8.985	6.141	107.8	5.918	7.197	111.3	7.023	6.599	103.9	6.589	7.289	100.5	7.268
Morphine	NF	NF	NR	NF	NF	NR	NR	NR	NF	4.84	27.55	4.035	4.827	16.35	3.937	7.705	120.6	8.185	5.397	37.76	4.26	5.95	98.11	5.75	5.808	70.84	5.235	5.173	63.86	5.053
Oxycodone	NR	NR	NR	NR	NR	NF	4.875	8.374	3.824	4.306	20.86	3.15	4.254	14.05	3.023	6.648	110.1	6.632	5.191	21.67	3.522	5.504	90.02	5.208	4.91	66.14	4.259	4.335	52.01	3.722
Cmp 1	NR	NR	NR	4.426	60.85	4.189	4.619	45.23	4.088	5.109	43.78	4.526	4.897	47.22	4.641	6.522	111	6.653	NR	NR	3.633	5.738	81.6	5.384	5.43	-5.43	3.518	6.667	-48.2	NF
Cmp 3	NR	NR	NF	NR	NR	6.653	NR	NR	NR	7.184	15.71	5.787	NR	NR	5.539	8.953	97.72	8.636	7.204	49.45	6.152	7.523	45.6	6.746	7.592	53.5	6.795	6.914	42.27	6.5
Cmp 4	NR	NR	NF	NR	NR	5.446	NR	NR	NR	NR	NR	NR	NR	NR	NR	8.32	104.1	8.152	6.44	23.48	5.04	5.912	45.01	5.338	6.531	30.72	5.368	5.86	45.81	5.619
Cmp 5	5.508	61.18	5.235	5.534	69.51	5.378	5.764	82.92	3.628	6.219	98.63	6.231	6.047	88.98	5.962	10.19	86.96	9.93	6.072	112.9	5.745	6.523	108.8	6.329	6.731	100.2	6.471	6.644	95.05	6.679
Cmp 6	NR	NR	NF	NF	NF	NF	NR	NR	6.684	6.19	11.94	5.24	NR	NR	4.764	7.716	92.09	7.475	5.551	24.75	4.156	6.087	42.93	5.283	5.865	42.57	4.92	5.966	32.1	5.343
Cmp 7	4.231	24.84	3.462	4.385	27.07	3.481	4.14	55.56	3.856	4.501	67.61	4.117	4.415	44.61	3.874	7.187	93.08	7.002	4.983	115.5	4.681	5.356	100.6	5.211	5.279	115.4	5.063	5.043	136.5	5.472
Cmp 8	6.594	89.97	6.638	6.577	109.3	6.652	6.8	104.6	6.814	7.183	90.22	7.019	6.932	88.63	6.78	9.081	98.71	9.003	8.053	140.8	7.932	8.195	121.6	8.173	8.41	126.3	8.355	8.489	102.3	8.475
Cmp 9	NR	NR	4.725	NR	NR	NR	6.103	9.309	5.294	6.541	28.74	5.907	6.316	16.19	5.409	9.142	93.77	8.995	6.507	52.16	5.622	6.811	56.36	6.195	6.852	62.52	6.291	6.655	64.11	6.435
Cmp 10	4.823	21.85	4.18	4.552	20.7	3.713	5.079	21.14	4.323	4.635	45.8	3.946	4.27	35.77	4.029	6.266	96.75	6.351	5.782	100.7	5.353	5.955	110.4	5.864	5.909	113.5	5.673	5.827	150.6	6.044
Cmp 11	6.088	89.44	5.996	6.118	98.3	6.104	6.383	94.42	6.303	6.805	100.3	6.859	6.661	94.29	6.653	9.588	86.77	9.347	6.946	116.5	6.674	7.3	118.8	7.133	7.186	96.18	6.945	7.433	111.4	7.404
Cmp 12	NF	NF	NF	NF	NF	NF	NR	NR	NF	NR	NR	NF	NR	NR	NF	7.529	81.72	7.326	5.383	28.79	4.211	6.92	30.52	5.853	6.752	19.37	5.353	5.468	43.79	5.064
Cmp 13	NF	NF	NF	NF	NF	NR	NF	NF	NF	NF	NF	NR	NF	NF	NF	6.135	122.2	6.43	5.443	23.93	4.026	5.684	33.97	4.767	5.297	63.03	4.629	5.154	50.66	4.932
Cmp 14	NF	NF	NF	NF	NF	NF	NF	NF	NF	NR	NR	NF	NF	NF	NF	6.308	100	6.355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cmp 15	NF	NF	NF	NR	NR	NF	NR	NR	NF	NR	NR	NF	NR	NR	NF	NF	NF	NF	5.394	12.9	3.682	6.615	13.04	5.225	7.844	-18.73	NF	4.705	29	3.913
Cmp 16	NF	NF	NF	NF	NF	NF	NF	NF	NR	NF	NF	NF	NF	NF	NF	8.4	85.33	8.102	5.601	21.87	4.066	6.988	29.57	5.966	6.519	34.45	5.438	7.66	61.34	7.881
