NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	3.503	0.169
NR	NR	0	0	0	0	4.766	0.2798	14.44	2.903	4.024	0.1792	5.035	0.3293	16.31	3.33	4.231	0.2243	5.299	0.1321	30.44	2.238	4.729	0.1041	4.742	0.1598	26.13	3.04	3.997	0.1219
4.563	0.04306	40.8	2.08	4.047	0.06353	4.797	0.2189	35.56	5.487	4.367	0.1451	5.118	0.1832	35.13	4.063	4.625	0.1282	5.057	0.09611	55.19	3.362	4.712	0.07395	4.911	0.09597	48.48	3.505	4.632	0.09139
6.218	0.02003	99.48	0.9327	6.24	0.0175	6.283	0.01734	100.3	0.7972	6.28	0.01406	6.55	0.01433	100	0.6256	6.572	0.0144	7.049	0.02462	102.5	1.347	7.116	0.02076	6.859	0.01993	99.38	1.075	6.882	0.01907
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	4.84	0.2256	27.55	4.401	4.035	0.1841	4.827	0.2254	16.35	2.656	3.937	0.1469
NR	NR	0	0	0	0	NR	NR	0	0	0	0	4.875	0.3095	8.374	3.88	3.824	0.2986	4.306	0.091	20.86	2.28	3.15	0.1285	4.254	0.2126	14.05	2.26	3.023	0.1075
NR	NR	0	0	0	0	4.426	0.04381	60.85	2.88	4.189	0.04761	4.619	0.09209	45.23	3.88	4.088	0.1083	5.109	0.04889	43.78	2.35	4.526	0.07159	4.897	0.09747	47.22	3.125	4.641	0.08634
NR	NR	0	0	0	0	NR	NR	0	0	6.653	0.4465	NR	NR	0	0	0	0	7.184	0.1581	15.71	1.155	5.787	0.2918	NR	NR	0	0	5.539	0.2562
NR	NR	0	0	0	0	NR	NR	0	0	5.446	0.4596	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0
5.508	0.05172	61.18	1.813	5.235	0.04996	5.534	0.04122	69.51	1.583	5.378	0.03835	5.764	0.04107	82.92	1.685	3.628	0.5454	6.219	0.03673	98.63	2.249	6.231	0.02354	6.047	0.03253	88.98	1.4	5.962	0.03027
NR	NR	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	6.684	0.5144	6.19	0.09484	11.94	0.5711	5.24	0.1164	NR	NR	0	0	4.764	0.2088
4.231	0.05661	24.84	2.08	3.462	0.04594	4.385	0.1219	27.07	2.88	3.481	0.05018	4.14	0.1348	55.56	9.089	3.856	0.06491	4.501	0.05299	67.61	3.267	4.117	0.03134	4.415	0.05058	44.61	2.26	3.874	0.02137
6.594	0.06161	89.97	2.687	6.638	0.05368	6.577	0.0779	109.3	5.042	6.652	0.04803	6.8	0.08572	104.6	5.188	6.814	0.05005	7.183	0.06379	90.22	3.32	7.019	0.04229	6.932	0.06195	88.63	2.513	6.78	0.05278
NR	NR	0	0	4.725	0.392	NR	NR	0	0	0	0	6.103	0.1422	9.309	0.6295	5.294	0.1429	6.541	0.1023	28.74	1.332	5.907	0.08284	6.316	0.142	16.19	1.053	5.409	0.114
4.823	0.05361	21.85	2.08	4.18	0.2424	4.552	0.1454	20.7	2.88	3.713	0.1667	5.079	0.2502	21.14	3.473	4.323	0.1775	4.635	0.1108	45.8	2.28	3.946	0.1279	4.27	0.04716	35.77	2.26	4.029	0.151
6.088	0.04709	89.44	2.76	5.996	0.0512	6.118	0.03141	98.3	1.444	6.104	0.02282	6.383	0.02314	94.42	1.03	6.303	0.02972	6.805	0.04082	100.3	1.863	6.859	0.03644	6.661	0.04522	94.29	1.932	6.653	0.03344
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	NF	NF	0	0	0	0
NF	NF	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0
