	βarrestine 1			βarrestine 2			βarrestine 2 + GRK2			βarrestine 2 + GRK5			βarrestine 2 + GRK6			EPAC			Gαi1			Gαi2			Gαo			Kir		
	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R	PEC50	Span	Log R
Buprenorphine	NR	0	0	NF	0	2.554	4.643	15.86	3.995	4.709	14.99	4.286	4.555	7.405	3.699	9.248	88.35	9.145	8.252	40.91	7.311	8.212	58.86	7.857	8.577	79.93	8.264	8.371	60.85	7.404
DAMGO	5.933	103.9	5.974	5.899	86.58	5.827	6.612	98.99	6.615	6.576	104	6.627	6.207	104.8	6.241	10.23	93.71	10.16	6.61	103.6	6.547	7.195	100.4	7.189	7.636	107.4	7.424	7.272	115.3	6.752
Endomorphine1	6.108	45.44	5.847	6.027	50.73	5.754	6.66	84.44	6.606	6.591	82.6	6.521	6.334	68.26	6.211	9.646	93.91	9.503	6.66	85.29	6.348	7.126	91.58	6.982	7.549	107.4	7.466	6.16	118	5.941
Fentanyl	6.171	26.62	5.78	6.221	27.5	5.692	6.794	72.67	6.705	6.8	72.7	6.695	6.43	52.33	6.223	10.52	94.44	10.5	7.475	80.97	7.118	7.613	91.18	7.606	8.156	102.7	8.037	7.476	83.54	6.941
Loperamide	6.27	75.4	6.159	6.059	81.41	5.982	6.649	89.42	6.589	6.678	89.3	6.624	6.361	87.73	6.321	9.727	97.73	9.68	8.038	110.9	7.851	8.21	103.1	8.059	8.785	121.6	8.895	6.654	182.2	6.96
Meptazinol	NR	0	0	NF	0	0	NR	0	0	NR	0	0	NR	0	0	8.11	91.15	8.009	6.16	39.86	5.185	6.586	62.68	6.073	6.709	69.87	6.31	5.567	84.82	4.837
Met-Enk	5.911	99.47	5.896	5.997	98.47	5.967	6.644	100.3	6.658	6.646	99.88	6.648	6.362	99.06	6.362	8.555	104.1	8.627	6.474	103.7	6.429	7.267	101.8	7.297	7.519	103.9	7.403	7.067	96.36	6.575
Morphine	6.435	15.11	5.809	6.369	18.83	5.68	6.805	68.35	6.686	6.869	65.14	6.723	6.548	44.03	6.274	9.991	97.25	9.889	7.671	86.58	7.34	7.936	98.08	7.91	8.535	104.1	8.519	8.161	116.1	7.841
Oxycodone	4.875	13.82	4.252	5.229	11.88	4.576	5.719	58.31	5.539	5.744	60.37	5.559	5.553	34.76	5.163	8.709	104.6	8.742	6.315	79.61	5.92	6.462	99.97	6.392	7.012	104.1	6.903	6.813	97.9	6.278
Tramadol	NF	0	0	NF	0	0	NF	0	0	NF	0	0	NR	0	0	6.287	85.7	6.259	4.788	27.99	3.345	4.967	59.86	4.513	4.763	63.13	4.267	4.619	73.96	3.782
Cmp 1	NR	0	3.774	NR	0	0	4.504	13.11	3.689	NR	0	4.65	NF	0	2.982	8.83	102.6	8.841	6.776	38.27	5.767	6.701	60.52	6.122	7.139	60.28	6.646	NR	0	5.164
Cmp 3	NR	0	0	NF	0	0	NR	0	6.175	NR	0	6.91	NF	0	0	8.987	90.03	8.847	7.794	25.97	6.808	7.678	62	7.466	8.76	69.1	8.332	5.688	48.31	4.893
Cmp 4	NF	0	3.304	NR	0	0	NR	0	5.931	NR	0	6.1	NF	0	2.782	8.975	95.22	8.902	7.459	22.65	6.092	7.517	44.81	6.787	8.06	61.14	7.673	7.948	35.13	6.556
Cmp 5	7.03	103.5	7.058	7.058	100.7	7.082	7.741	101.3	7.768	7.763	99.19	7.754	7.37	102.3	7.38	11.07	90.32	10.98	7.909	117.6	7.912	8.804	88.69	8.953	8.808	107.6	8.824	9.024	131.2	8.907
Cmp 6	NR	0	0	NR	0	0	7.317	16.42	6.617	7.411	18.82	6.763	7.492	7.337	6.329	8.951	92.11	8.855	6.678	57.37	6.039	7.424	76.27	7.043	7.584	66.73	7.213	7.516	55.64	6.768
Cmp 7	5.151	118.1	5.398	5.314	101.2	5.514	6.6	97.35	6.583	6.552	100.1	6.559	6.102	104.4	6.163	9.527	81.84	9.385	7.247	117	7.336	8.02	107.5	8.09	8.187	113.5	8.145	7.456	151.5	7.312
Cmp 8	4.936	41.84	4.649	4.737	39.23	4.143	5.126	76.98	5.004	5.079	81.76	5.008	4.914	70.43	4.813	8.284	92.16	8.129	6.556	95.28	6.343	6.825	98.85	6.745	7.405	89.68	7.196	5.728	181.3	5.969
Cmp 9	NR	0	0	NF	0	0	7.042	17.59	6.355	7.193	16.78	6.522	6.622	7.541	5.69	9.153	89.75	9.028	7.568	45.57	6.775	8.016	64.8	7.74	8.398	79.23	8.1	7.838	55.83	7.01
Cmp 10	4.672	14.82	3.814	4.915	10.31	3.919	5.313	57.12	5.155	5.27	56.46	5.079	4.984	36.32	4.653	8.711	98.45	8.642	6.311	66.95	5.863	6.983	88.86	6.781	7.086	84.08	6.816	6.053	147.4	5.983
Cmp 11	NR	0	0	NR	0	0	5.392	15.34	4.68	5.74	17.05	5.047	5.545	6.336	4.532	8.134	96.03	8.136	6.467	60.38	5.869	6.199	88.64	5.98	6.938	88.38	6.697	6.174	77.39	5.495
Cmp 12	5.182	17.46	4.961	5.388	0	5.094	6.513	66.12	6.403	6.498	65.83	6.373	6.025	49.53	5.911	9.069	93.65	8.995	7.644	81.27	7.354	7.726	93.05	7.476	8.36	119.3	8.482	7.024	159.7	7.048
