Buprenorphine	4	4	4	4	4	5	4	5	4	6
DAMGO	4	3	3	3	3	5	4	4	4	7
Endomorphine1	4	4	4	4	4	11	4	4	4	7
Fentanyl	4	4	4	4	4	11	4	4	4	7
Loperamide	4	3	3	3	3	5	4	4	4	7
Meptazinol	4	4	4	4	4	5	4	4	4	7
Met-Enk	18	16	16	16	16	29	20	21	21	20
Morphine	4	3	3	3	3	5	4	4	6	7
Oxycodone	4	7	7	7	7	5	4	5	4	7
Tramadol	4	4	4	3	4	10	4	5	4	5
Cmp 1	5	3	3	3	3	5	6	5	4	5
Cmp 3	5	3	3	3	3	10	6	5	4	6
Cmp 4	5	3	3	3	3	5	4	5	4	5
Cmp 5	4	3	3	3	3	6	4	7	6	4
Cmp 6	5	6	6	6	6	6	4	4	4	4
Cmp 7	4	6	6	6	6	6	4	4	4	5
Cmp 8	5	6	6	6	6	6	4	4	4	6
Cmp 9	2	3	3	3	3	6	4	4	4	4
Cmp 10	5	6	6	6	6	6	4	4	4	6
Cmp 11	3	4	4	4	4	7	6	5	4	7
Cmp 12	3	4	4	4	4	7	6	5	4	5
Cmp 13	3	4	4	4	4	7	6	5	5	7
Cmp 14	3	4	4	4	4	7	6	5	4	5
Cmp 15	3	4	4	4	4	7	6	5	4	5
Cmp 16	3	4	4	4	4	12	6	5	4	5
