NR	NR	0	0	0	0	NF	NF	0	0	2.554	0.1333	4.643	0.2024	15.86	1.87	3.995	0.2119	4.709	0.1503	14.99	1.68	4.286	0.1751	4.555	0.16	7.405	1.75	3.699	0.1762
5.933	0.03774	103.9	1.891	5.974	0.02623	5.899	0.02753	86.58	1.755	5.827	0.02588	6.612	0.0244	98.99	1.724	6.615	0.02003	6.576	0.03386	104	1.686	6.627	0.02644	6.207	0.03997	104.8	1.986	6.241	0.02829
6.108	0.05233	45.44	1.134	5.847	0.03962	6.027	0.05064	50.73	1.228	5.754	0.03877	6.66	0.05578	84.44	2.267	6.606	0.04156	6.591	0.04078	82.6	1.614	6.521	0.03047	6.334	0.05148	68.26	1.666	6.211	0.03882
6.171	0.09088	26.62	1.148	5.78	0.06894	6.221	0.0826	27.5	1.077	5.692	0.06389	6.794	0.07397	72.67	2.617	6.705	0.05461	6.8	0.04521	72.7	1.601	6.695	0.03317	6.43	0.0749	52.33	1.863	6.223	0.05653
6.27	0.03679	75.4	2.089	6.159	0.04148	6.059	0.05203	81.41	2.02	5.982	0.03965	6.649	0.03075	89.42	2.137	6.589	0.03962	6.678	0.02517	89.3	1.763	6.624	0.03503	6.361	0.03746	87.73	2.368	6.321	0.0344
NR	NR	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0
5.911	0.01607	99.47	1.143	5.896	0.0128	5.997	0.01056	98.47	0.7442	5.967	0.01055	6.644	0.01475	100.3	0.6769	6.658	0.0109	6.646	0.0127	99.88	0.5805	6.648	0.009403	6.362	0.01421	99.06	0.9146	6.362	0.0111
6.435	0.1319	15.11	0.9729	5.809	0.09892	6.369	0.0878	18.83	0.813	5.68	0.06759	6.805	0.04087	68.35	1.328	6.686	0.03022	6.869	0.05181	65.14	1.602	6.723	0.03896	6.548	0.05004	44.03	1.064	6.274	0.03769
4.875	0.1395	13.82	1.299	4.252	0.09334	5.229	0.1577	11.88	1.069	4.576	0.1104	5.719	0.05073	58.31	1.472	5.539	0.03881	5.744	0.03051	60.37	0.9124	5.559	0.0234	5.553	0.03585	34.76	1.01	5.163	0.03414
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0
NR	NR	0	0	3.774	0.2603	NR	NR	0	0	0	0	4.504	0.1267	13.11	1.87	3.689	0.1459	NR	NR	0	0	4.65	0.1537	NF	NF	0	0	2.982	0.05977
NR	NR	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	6.175	0.4429	NR	NR	0	0	6.91	0.2588	NF	NF	0	0	0	0
NF	NF	0	0	3.304	0.09812	NR	NR	0	0	0	0	NR	NR	0	0	5.931	0.274	NR	NR	0	0	6.1	0.1615	NF	NF	0	0	2.782	0.08794
7.03	0.03384	103.5	2.535	7.058	0.03077	7.058	0.04058	100.7	2.946	7.082	0.03563	7.741	0.03768	101.3	1.995	7.768	0.02569	7.763	0.03928	99.19	2.048	7.754	0.02568	7.37	0.03592	102.3	1.789	7.38	0.02371
NR	NR	0	0	0	0	NR	NR	0	0	0	0	7.317	0.1135	16.42	0.9039	6.617	0.08563	7.411	0.09609	18.82	0.8875	6.763	0.0713	7.492	0.1695	7.337	0.618	6.329	0.1439
5.151	0.1429	118.1	11.16	5.398	0.04225	5.314	0.03267	101.2	1.54	5.514	0.03361	6.6	0.04321	97.35	2.03	6.583	0.0297	6.552	0.03299	100.1	1.588	6.559	0.02231	6.102	0.05282	104.4	3.753	6.163	0.03108
4.936	0.2138	41.84	8.147	4.649	0.1254	4.737	0.08686	39.23	1.54	4.143	0.09173	5.126	0.04399	76.98	3.102	5.004	0.03387	5.079	0.065	81.76	1.68	5.008	0.0447	4.914	0.1253	70.43	5.82	4.813	0.08721
NR	NR	0	0	0	0	NF	NF	0	0	0	0	7.042	0.1043	17.59	0.8727	6.355	0.08036	7.193	0.06394	16.78	0.8067	6.522	0.06282	6.622	0.1013	7.541	0.6159	5.69	0.1195
4.672	0.1142	14.82	3.12	3.814	0.1451	4.915	0.1573	10.31	1.065	3.919	0.1146	5.313	0.06746	57.12	2.137	5.155	0.05005	5.27	0.07294	56.46	2.318	5.079	0.05407	4.984	0.06779	36.32	1.564	4.653	0.04782
NR	NR	0	0	0	0	NR	NR	0	0	0	0	5.392	0.1392	15.34	1.155	4.68	0.105	5.74	0.1269	17.05	1.079	5.047	0.09806	5.545	0.1413	6.336	0.4649	4.532	0.106
5.182	0.1	17.46	3.12	4.961	0.1163	5.388	0.295	0	0	5.094	0.0846	6.513	0.08047	66.12	2.511	6.403	0.06041	6.498	0.0676	65.83	2.099	6.373	0.05134	6.025	0.08936	49.53	0.08936	5.911	0.05123
5.077	0.0903	52.62	2.889	4.894	0.06373	4.882	0.07337	68.96	3.394	4.737	0.0506	5.711	0.07007	93.47	3.284	5.679	0.05341	5.636	0.08149	95.3	3.918	5.617	0.0622	5.328	0.06507	85.82	2.987	5.281	0.04852
NR	NR	0	0	4.635	0.1921	NR	NR	0	0	0	0	NR	NR	0	0	4.597	0.3206	NR	NR	0	0	5.182	0.3234	NR	NR	0	0	4.618	0.4369
NR	NR	0	0	0	0	NF	NF	0	0	0	0	4.077	0.14	21.73	1.87	3.955	0.1492	5.039	0.109	15.72	1.68	4.507	0.1284	NR	NR	0	0	3.943	0.1739
NR	NR	0	0	5.373	0.1567	5.792	0.1599	10.76	0.8572	4.874	0.1229	6.396	0.05846	59.56	1.652	6.207	0.04411	6.283	0.09357	54.16	2.407	6.06	0.07199	6.094	0.08686	30.37	1.265	5.658	0.06693
