4.643	0.2024	15.86	1.87	3.995	0.2119
6.612	0.0244	98.99	1.724	6.615	0.02003
6.66	0.05578	84.44	2.267	6.606	0.04156
6.794	0.07397	72.67	2.617	6.705	0.05461
6.649	0.03075	89.42	2.137	6.589	0.03962
NR	NR	0	0	0	0
6.644	0.01475	100.3	0.6769	6.658	0.0109
6.805	0.04087	68.35	1.328	6.686	0.03022
5.719	0.05073	58.31	1.472	5.539	0.03881
NF	NF	0	0	0	0
4.504	0.1267	13.11	1.87	3.689	0.1459
NR	NR	0	0	6.175	0.4429
NR	NR	0	0	5.931	0.274
7.741	0.03768	101.3	1.995	7.768	0.02569
7.317	0.1135	16.42	0.9039	6.617	0.08563
6.6	0.04321	97.35	2.03	6.583	0.0297
5.126	0.04399	76.98	3.102	5.004	0.03387
7.042	0.1043	17.59	0.8727	6.355	0.08036
5.313	0.06746	57.12	2.137	5.155	0.05005
5.392	0.1392	15.34	1.155	4.68	0.105
6.513	0.08047	66.12	2.511	6.403	0.06041
5.711	0.07007	93.47	3.284	5.679	0.05341
NR	NR	0	0	4.597	0.3206
4.077	0.14	21.73	1.87	3.955	0.1492
6.396	0.05846	59.56	1.652	6.207	0.04411
