NR	NR	0	0	0	0	NF	NF	0	0	2.554	0.1333	4.643	0.2024	15.86	1.87	3.995	0.2119	4.709	0.1503	14.99	1.68	4.286	0.1751	4.555	0.16	7.405	1.75	3.699	0.1762	9.248	0.06244	88.35	5.004	9.145	0.07237	8.252	0.1591	40.91	3.359	7.311	0.1244	8.212	4.125	58.86	4.125	7.857	0.09472	8.577	0.09778	79.93	4.57	8.264	0.07061	8.371	0.2207	60.85	7.188	7.404	0.1625	1	NA	0.13008	NA	0.1049	NA	0.14151	NA	0.125	NA	0.16	NA	0.13008	NA	0.26667	NA	0.25	NA	0.17647	NA	0.10169	NA	0.3617	NA	0.37815	NA	0.13393	NA	0.11207	NA	0.10078	NA	0.0625	NA	0.27273	NA	0.11667	NA	0.1405	NA	0.17143	NA	0.12097	NA	0.11304	NA	0.11905	NA	0.10317	NA	1	NA	0.49333	NA	0.56757	NA	0.42254	NA	0.56757	NA	0.57813	NA	0.44156	NA	0.625	NA	0.85938	NA	0.60938	NA	0.47143	NA	0.74194	NA	0.78873	NA	0.44	NA	0.5	NA	0.50617	NA	0.44304	NA	0.69841	NA	0.51316	NA	0.54545	NA	0.625	NA	0.56962	NA	0.51471	NA	0.54054	NA	0.625	NA	1	NA	0.04375	NA	0.061111	NA	0.075188	NA	0.085714	NA	0.096	NA	0.042945	NA	0.19048	NA	0.20769	NA	0.10078	NA	0.076923	NA	0.22131	NA	0.32168	NA	0.061224	NA	0.054795	NA	0.076433	NA	0.052632	NA	0.17188	NA	0.07483	NA	0.071895	NA	0.087591	NA	0.080537	NA	0.06338	NA	0.058442	NA	0.070968	NA
5.933	0.03774	103.9	1.891	5.974	0.02623	5.899	0.02753	86.58	1.755	5.827	0.02588	6.612	0.0244	98.99	1.724	6.615	0.02003	6.576	0.03386	104	1.686	6.627	0.02644	6.207	0.03997	104.8	1.986	6.241	0.02829	10.23	0.09331	93.71	4.044	10.16	0.07645	6.61	0.0604	103.6	3.944	6.547	0.03341	7.195	0.1616	100.4	9.745	7.189	0.07035	7.636	0.1011	107.4	6.74	7.424	0.05462	7.272	0.4705	115.3	23.15	6.752	0.1307	0.13008	NA	1	NA	0.30631	NA	0.17391	NA	0.15306	NA	0.13187	NA	0.4	NA	0.17647	NA	0.10909	NA	0.10309	NA	0.125	NA	0.16162	NA	0.14394	NA	0.46154	NA	0.28889	NA	0.09322	NA	0.078947	NA	0.14141	NA	0.11009	NA	0.10619	NA	0.1828	NA	0.10526	NA	0.16162	NA	0.19626	NA	0.076923	NA	0.49333	NA	1	NA	0.6875	NA	0.45313	NA	0.56522	NA	0.45313	NA	0.80702	NA	0.41176	NA	0.52055	NA	0.50794	NA	0.43939	NA	0.49254	NA	0.58667	NA	0.78571	NA	0.77586	NA	0.37349	NA	0.37662	NA	0.5	NA	0.38961	NA	0.46053	NA	0.45455	NA	0.46835	NA	0.46154	NA	0.55882	NA	0.45333	NA	0.04375	NA	1	NA	0.2381	NA	0.1453	NA	0.11719	NA	0.07563	NA	0.34167	NA	0.036765	NA	0.042254	NA	0.072581	NA	0.11538	NA	0.068702	NA	0.071429	NA	0.36111	NA	0.21849	NA	0.066667	NA	0.06338	NA	0.076336	NA	0.064286	NA	0.068966	NA	0.12	NA	0.062937	NA	0.12698	NA	0.14925	NA	0.060811	NA
6.108	0.05233	45.44	1.134	5.847	0.03962	6.027	0.05064	50.73	1.228	5.754	0.03877	6.66	0.05578	84.44	2.267	6.606	0.04156	6.591	0.04078	82.6	1.614	6.521	0.03047	6.334	0.05148	68.26	1.666	6.211	0.03882	9.646	0.06913	93.91	3.82	9.503	0.04678	6.66	0.09313	85.29	5.006	6.348	0.05214	7.126	0.05829	91.58	3.319	6.982	0.03506	7.549	0.1223	107.4	7.858	7.466	0.05751	6.16	0.1421	118	7.87	5.941	0.1413	0.1049	NA	0.30631	NA	1	NA	0.14414	NA	0.12821	NA	0.10909	NA	0.33028	NA	0.14876	NA	0.093023	NA	0.086207	NA	0.10569	NA	0.12605	NA	0.12583	NA	0.33	NA	0.22727	NA	0.088235	NA	0.083969	NA	0.11864	NA	0.10236	NA	0.099237	NA	0.15179	NA	0.10687	NA	0.13559	NA	0.176	NA	0.066176	NA	0.56757	NA	0.6875	NA	1	NA	0.49231	NA	0.53425	NA	0.42647	NA	0.64615	NA	0.53846	NA	0.57534	NA	0.43478	NA	0.33784	NA	0.48571	NA	0.66216	NA	0.625	NA	0.62121	NA	0.51282	NA	0.5942	NA	0.51471	NA	0.56338	NA	0.55405	NA	0.5625	NA	0.62162	NA	0.57143	NA	0.69231	NA	0.52703	NA	0.061111	NA	0.2381	NA	1	NA	0.13669	NA	0.098684	NA	0.085714	NA	0.29371	NA	0.044304	NA	0.055215	NA	0.068027	NA	0.10458	NA	0.086093	NA	0.073684	NA	0.29545	NA	0.16552	NA	0.088757	NA	0.086957	NA	0.092715	NA	0.08805	NA	0.078313	NA	0.11565	NA	0.08642	NA	0.12925	NA	0.14103	NA	0.052326	NA
6.171	0.09088	26.62	1.148	5.78	0.06894	6.221	0.0826	27.5	1.077	5.692	0.06389	6.794	0.07397	72.67	2.617	6.705	0.05461	6.8	0.04521	72.7	1.601	6.695	0.03317	6.43	0.0749	52.33	1.863	6.223	0.05653	10.52	0.09011	94.44	4.121	10.5	0.06873	7.475	0.04107	80.97	1.642	7.118	0.03967	7.613	0.04543	91.18	2.081	7.606	0.03863	8.156	0.07383	102.7	4.307	8.037	0.05515	7.476	0.1456	83.54	5.932	6.941	0.1096	0.14151	NA	0.17391	NA	0.14414	NA	1	NA	0.21795	NA	0.16438	NA	0.14894	NA	0.1087	NA	0.18182	NA	0.17105	NA	0.125	NA	0.16867	NA	0.13675	NA	0.17073	NA	0.15294	NA	0.26136	NA	0.15385	NA	0.15854	NA	0.2716	NA	0.12632	NA	0.27778	NA	0.3012	NA	0.16867	NA	0.17021	NA	0.069307	NA	0.42254	NA	0.45313	NA	0.49231	NA	1	NA	0.61667	NA	0.49091	NA	0.4375	NA	0.30769	NA	0.42857	NA	0.37705	NA	0.42373	NA	0.45902	NA	0.54286	NA	0.36923	NA	0.41538	NA	0.58462	NA	0.61017	NA	0.51724	NA	0.62712	NA	0.49254	NA	0.51786	NA	0.56716	NA	0.58491	NA	0.55738	NA	0.4	NA	0.075188	NA	0.1453	NA	0.13669	NA	1	NA	0.19	NA	0.10638	NA	0.12295	NA	0.044643	NA	0.078261	NA	0.10101	NA	0.14151	NA	0.09434	NA	0.098592	NA	0.13889	NA	0.14151	NA	0.12397	NA	0.11404	NA	0.11429	NA	0.12613	NA	0.091667	NA	0.18367	NA	0.14286	NA	0.14563	NA	0.14035	NA	0.064	NA
6.27	0.03679	75.4	2.089	6.159	0.04148	6.059	0.05203	81.41	2.02	5.982	0.03965	6.649	0.03075	89.42	2.137	6.589	0.03962	6.678	0.02517	89.3	1.763	6.624	0.03503	6.361	0.03746	87.73	2.368	6.321	0.0344	9.727	0.0615	97.73	3.035	9.68	0.04985	8.038	0.07193	110.9	5.339	7.851	0.04954	8.21	0.09141	103.1	6.285	8.059	0.05286	8.785	0.0912	121.6	7.865	8.895	0.07922	6.654	0.1433	182.2	7.87	6.96	0.1325	0.125	NA	0.15306	NA	0.12821	NA	0.21795	NA	1	NA	0.13924	NA	0.14141	NA	0.091837	NA	0.15957	NA	0.20513	NA	0.2093	NA	0.13333	NA	0.1405	NA	0.13483	NA	0.13187	NA	0.14851	NA	0.089109	NA	0.13636	NA	0.17391	NA	0.10891	NA	0.14118	NA	0.17708	NA	0.21429	NA	0.15	NA	0.07619	NA	0.56757	NA	0.56522	NA	0.53425	NA	0.61667	NA	1	NA	0.59016	NA	0.50704	NA	0.38889	NA	0.57534	NA	0.62295	NA	0.57143	NA	0.57576	NA	0.64	NA	0.52941	NA	0.48611	NA	0.51282	NA	0.48649	NA	0.58462	NA	0.52055	NA	0.49351	NA	0.5873	NA	0.53846	NA	0.62295	NA	0.57143	NA	0.52703	NA	0.085714	NA	0.11719	NA	0.098684	NA	0.19	NA	1	NA	0.13	NA	0.097744	NA	0.058824	NA	0.099174	NA	0.13462	NA	0.092437	NA	0.096491	NA	0.11486	NA	0.11864	NA	0.11111	NA	0.12403	NA	0.088	NA	0.10526	NA	0.12605	NA	0.076923	NA	0.14679	NA	0.12295	NA	0.11404	NA	0.12097	NA	0.075758	NA
NR	NR	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	8.11	0.09792	91.15	4.056	8.009	0.08001	6.16	0.1215	39.86	2.299	5.185	0.09985	6.586	2.434	62.68	0.08202	6.073	0.06816	6.709	0.05498	69.87	1.836	6.31	0.04421	5.567	0.1507	84.82	6.831	4.837	0.1176	0.16	NA	0.13187	NA	0.10909	NA	0.16438	NA	0.13924	NA	1	NA	0.13187	NA	0.12791	NA	0.13793	NA	0.16667	NA	0.093023	NA	0.24324	NA	0.13274	NA	0.1519	NA	0.13415	NA	0.12766	NA	0.052632	NA	0.26761	NA	0.13953	NA	0.2439	NA	0.47458	NA	0.11957	NA	0.22667	NA	0.19318	NA	0.072917	NA	0.57813	NA	0.45313	NA	0.42647	NA	0.49091	NA	0.59016	NA	1	NA	0.41538	NA	0.39344	NA	0.5873	NA	0.64706	NA	0.52727	NA	0.71154	NA	0.5	NA	0.4127	NA	0.37313	NA	0.47143	NA	0.37681	NA	0.69231	NA	0.45455	NA	0.5625	NA	0.77083	NA	0.4	NA	0.55556	NA	0.46154	NA	0.46269	NA	0.096	NA	0.07563	NA	0.085714	NA	0.10638	NA	0.13	NA	1	NA	0.07377	NA	0.07767	NA	0.1028	NA	0.18391	NA	0.074766	NA	0.15789	NA	0.086957	NA	0.083333	NA	0.095238	NA	0.13043	NA	0.070796	NA	0.18085	NA	0.14423	NA	0.15741	NA	0.35802	NA	0.099099	NA	0.16667	NA	0.14815	NA	0.10435	NA
5.911	0.01607	99.47	1.143	5.896	0.0128	5.997	0.01056	98.47	0.7442	5.967	0.01055	6.644	0.01475	100.3	0.6769	6.658	0.0109	6.646	0.0127	99.88	0.5805	6.648	0.009403	6.362	0.01421	99.06	0.9146	6.362	0.0111	8.555	0.0682	104.1	3.697	8.627	0.04214	6.474	0.05377	103.7	3.356	6.429	0.02831	7.267	0.04898	101.8	2.965	7.297	0.02774	7.519	0.05471	103.9	3.387	7.403	0.02857	7.067	0.0602	96.36	2.604	6.575	0.05275	0.13008	NA	0.4	NA	0.33028	NA	0.14894	NA	0.14141	NA	0.13187	NA	1	NA	0.17647	NA	0.10909	NA	0.11458	NA	0.15842	NA	0.16162	NA	0.11852	NA	0.5	NA	0.31818	NA	0.09322	NA	0.088496	NA	0.14141	NA	0.11009	NA	0.10619	NA	0.1828	NA	0.125	NA	0.16162	NA	0.19626	NA	0.11504	NA	0.44156	NA	0.80702	NA	0.64615	NA	0.4375	NA	0.50704	NA	0.41538	NA	1	NA	0.43939	NA	0.48649	NA	0.46875	NA	0.44615	NA	0.45588	NA	0.55263	NA	0.76786	NA	0.78947	NA	0.36145	NA	0.36364	NA	0.44118	NA	0.37662	NA	0.42857	NA	0.43939	NA	0.4557	NA	0.44615	NA	0.56716	NA	0.47945	NA	0.042945	NA	0.34167	NA	0.29371	NA	0.12295	NA	0.097744	NA	0.07377	NA	1	NA	0.035971	NA	0.041379	NA	0.054264	NA	0.11278	NA	0.067164	NA	0.057803	NA	0.41509	NA	0.22314	NA	0.065359	NA	0.062069	NA	0.074627	NA	0.062937	NA	0.067568	NA	0.11719	NA	0.061644	NA	0.12403	NA	0.14599	NA	0.052632	NA
6.435	0.1319	15.11	0.9729	5.809	0.09892	6.369	0.0878	18.83	0.813	5.68	0.06759	6.805	0.04087	68.35	1.328	6.686	0.03022	6.869	0.05181	65.14	1.602	6.723	0.03896	6.548	0.05004	44.03	1.064	6.274	0.03769	9.991	0.0725	97.25	5.17	9.889	0.05858	7.671	0.05448	86.58	3.205	7.34	0.03269	7.936	0.05807	98.08	3.799	7.91	0.03267	8.535	0.06979	104.1	3.777	8.519	0.0573	8.161	0.1292	116.1	10.24	7.841	0.11	0.26667	NA	0.17647	NA	0.14876	NA	0.1087	NA	0.091837	NA	0.12791	NA	0.17647	NA	1	NA	0.17172	NA	0.13483	NA	0.12121	NA	0.18478	NA	0.25	NA	0.18681	NA	0.17021	NA	0.078947	NA	0.073394	NA	0.1383	NA	0.095238	NA	0.091743	NA	0.13043	NA	0.090909	NA	0.10101	NA	0.11927	NA	0.1215	NA	0.625	NA	0.41176	NA	0.53846	NA	0.30769	NA	0.38889	NA	0.39344	NA	0.43939	NA	1	NA	0.63492	NA	0.38095	NA	0.42623	NA	0.5082	NA	0.6087	NA	0.46032	NA	0.46154	NA	0.37662	NA	0.4	NA	0.51667	NA	0.45588	NA	0.43056	NA	0.51724	NA	0.5	NA	0.45	NA	0.50769	NA	0.60317	NA	0.19048	NA	0.036765	NA	0.044304	NA	0.044643	NA	0.058824	NA	0.07767	NA	0.035971	NA	1	NA	0.13913	NA	0.074074	NA	0.057851	NA	0.10811	NA	0.18978	NA	0.04	NA	0.04065	NA	0.051471	NA	0.03876	NA	0.078261	NA	0.064516	NA	0.053435	NA	0.069565	NA	0.062992	NA	0.05042	NA	0.045802	NA	0.052632	NA
4.875	0.1395	13.82	1.299	4.252	0.09334	5.229	0.1577	11.88	1.069	4.576	0.1104	5.719	0.05073	58.31	1.472	5.539	0.03881	5.744	0.03051	60.37	0.9124	5.559	0.0234	5.553	0.03585	34.76	1.01	5.163	0.03414	8.709	0.09884	104.6	5.188	8.742	0.08428	6.315	0.05131	79.61	1.928	5.92	0.04975	6.462	0.07195	99.97	4.713	6.392	0.04663	7.012	0.06042	104.1	3.139	6.903	0.05073	6.813	0.09703	97.9	4.588	6.278	0.08089	0.25	NA	0.10909	NA	0.093023	NA	0.18182	NA	0.15957	NA	0.13793	NA	0.10909	NA	0.17172	NA	1	NA	0.21176	NA	0.07619	NA	0.20652	NA	0.3125	NA	0.11111	NA	0.098039	NA	0.13636	NA	0.091743	NA	0.15957	NA	0.15842	NA	0.1	NA	0.13978	NA	0.15094	NA	0.088235	NA	0.10714	NA	0.099099	NA	0.85938	NA	0.52055	NA	0.57534	NA	0.42857	NA	0.57534	NA	0.5873	NA	0.48649	NA	0.63492	NA	1	NA	0.59375	NA	0.47826	NA	0.72581	NA	0.8	NA	0.46575	NA	0.50685	NA	0.49383	NA	0.44872	NA	0.68254	NA	0.52	NA	0.51282	NA	0.60938	NA	0.57692	NA	0.5	NA	0.52703	NA	0.61111	NA	0.20769	NA	0.042254	NA	0.055215	NA	0.078261	NA	0.099174	NA	0.1028	NA	0.041379	NA	0.13913	NA	1	NA	0.11818	NA	0.062992	NA	0.14035	NA	0.20567	NA	0.045802	NA	0.054688	NA	0.086957	NA	0.068182	NA	0.11017	NA	0.094488	NA	0.058394	NA	0.083333	NA	0.083969	NA	0.056	NA	0.058824	NA	0.097015	NA
NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NF	NF	0	0	0	0	NR	NR	0	0	0	0	6.287	0.07979	85.7	5.17	6.259	0.06892	4.788	0.1111	27.99	4.54	3.345	0.1649	4.967	0.1914	59.86	7.342	4.513	0.1337	4.763	0.0834	63.13	3.823	4.267	0.05857	4.619	0.07191	73.96	18.46	3.782	0.07842	0.17647	NA	0.10309	NA	0.086207	NA	0.17105	NA	0.20513	NA	0.16667	NA	0.11458	NA	0.13483	NA	0.21176	NA	1	NA	0.11364	NA	0.17073	NA	0.15789	NA	0.10465	NA	0.10227	NA	0.14583	NA	0.094737	NA	0.16049	NA	0.17241	NA	0.10417	NA	0.12346	NA	0.15054	NA	0.10345	NA	0.11224	NA	0.12632	NA	0.60938	NA	0.50794	NA	0.43478	NA	0.37705	NA	0.62295	NA	0.64706	NA	0.46875	NA	0.38095	NA	0.59375	NA	1	NA	0.50877	NA	0.625	NA	0.48649	NA	0.4918	NA	0.46875	NA	0.36364	NA	0.32877	NA	0.55172	NA	0.38028	NA	0.43662	NA	0.61111	NA	0.40789	NA	0.45763	NA	0.42647	NA	0.53846	NA	0.10078	NA	0.072581	NA	0.068027	NA	0.10101	NA	0.13462	NA	0.18391	NA	0.054264	NA	0.074074	NA	0.11818	NA	1	NA	0.090909	NA	0.13861	NA	0.099291	NA	0.06087	NA	0.081081	NA	0.125	NA	0.067797	NA	0.11538	NA	0.13761	NA	0.092437	NA	0.13861	NA	0.094828	NA	0.083333	NA	0.075	NA	0.11864	NA
