Buprenorphine	3	3	3	3	3	5	3	5	4	7
Fentanyl	3	3	3	3	3	1	4	5	4	2
Loperamide	3	3	3	3	3	3	4	5	4	4
Met-Enk	18	15	14	15	15	31	21	21	21	18
Morphine	3	7	6	6	6	7	4	5	4	2
Oxycodone	3	3	3	3	3	3	4	5	4	3
Cmp 1	3	3	3	3	3	3	4	5	4	3
Cmp 3	3	3	3	3	3	5	3	4	4	3
Cmp 4	3	3	3	3	3	9	4	4	4	3
Cmp 5	3	3	3	3	3	7	9	4	7	4
Cmp 6	3	3	3	3	3	8	4	4	4	2
Cmp 7	3	3	3	3	3	2	9	4	7	4
Cmp 8	3	3	3	3	3	6	8	3	7	4
Cmp 9	3	4	3	3	3	2	5	3	3	3
Cmp 10	3	4	3	3	3	3	3	3	3	3
Cmp 11	3	3	3	3	3	5	7	3	6	3
Cmp 12	3	3	3	3	3	5	4	3	6	4
Cmp 13	3	7	6	6	6	5	3	3	6	4
Cmp 14	3	3	3	3	3	5	4	3	6	4
Cmp 15	3	3	3	3	3	4	3	3	6	4
Cmp 16	3	3	3	3	3	3	4	3	6	3
