NR 	NR 	0	0	0	0	NR	NR	0	0	5.037	0.4293	7.26	0.4856	2.929	0.4856	5.794	0.2744	NR	NR	0	0	5.361	0.2234	NR	NR	0	0	0	0	7.045	0.2911	105.6	13.47	6.926	0.2544	7.727	0.06423	42.79	2.232	6.885	0.08465	8.008	0.2116	74.66	11.07	7.626	0.08481	7.92	0.06321	86.86	4.34	7.277	0.0702	8.334	0.1801	91.15	9.349	8.051	0.1334
5.684	0.07381	94.6	3.508	5.591	0.04734	5.607	0.08012	79.76	3.254	5.507	0.06234	6.26	0.04206	98.11	1.955	6.21	0.02861	6.329	0.03075	95.52	1.392	6.264	0.02337	5.969	0.03517	92.14	1.556	5.899	0.02571	8.891	0.1839	89.35	7.481	8.443	0.1613	6.294	0.07195	128.3	4.353	6.178	0.05046	7.434	0.08144	94.81	4.65	7.503	0.04008	6.89	0.1588	113	8.765	6.489	0.1205	7.391	0.1553	90.41	5.538	7.105	0.1353
6.182	0.1225	17.6	1.768	5.583	0.1413	5.74	0.1815	20.12	1.822	5.166	0.1371	6.239	0.04454	65.81	1.387	6.08	0.03415	6.297	0.03823	62.26	1.124	6.103	0.03064	5.997	0.05359	43.84	1.131	5.691	0.0412	6.895	0.2017	122.9	10.66	6.754	0.1883	5.99	0.1571	66.93	5.067	5.613	0.1172	7.279	0.05044	87.68	2.83	7.223	0.03155	6.768	0.1443	84.08	5.834	6.181	0.1081	5.491	0.2542	49.4	0.2542	5.18	0.1967
6.611	0.08623	19.29	1.534	6.149	0.117	5.777	0.149	19.81	1.463	5.22	0.1124	6.471	0.04725	63.92	1.424	6.3	0.0359	6.548	0.06263	64.11	1.897	6.374	0.04835	6.279	0.06685	41.01	1.295	5.934	0.05122	8.821	0.2854	134.1	17.05	8.725	0.243	6.635	0.09062	95.29	4.153	6.369	0.07069	7.49	0.0429	91.23	1.932	7.49	0.03737	7.289	0.1204	99.83	5.807	6.717	0.09737	8.414	0.1939	93.28	8.643	8.266	0.1535
6.132	0.08087	82.35	3.166	6.081	0.06131	5.756	0.06169	83.98	2.592	5.683	0.04781	6.44	0.04652	89.33	3.082	6.37	0.04771	6.481	0.03728	92.33	2.552	6.393	0.03402	6.174	0.04001	86.74	2.476	6.041	0.03366	8.148	0.1914	89.43	7.295	7.694	0.1707	7.264	0.07553	134.6	4.902	7.204	0.05598	8.178	0.07791	92.38	4.118	8.273	0.06382	7.895	0.1847	119.3	11.66	7.557	0.1383	6.183	0.112	180.2	8.975	6.463	0.1292
NR 	NR 	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	6.988	0.064	98.88	2.698	6.577	0.1332	5.938	0.1708	36.71	3.031	5.15	0.1284	6.522	0.06701	66.05	2.089	6.214	0.05522	6.277	0.1589	61.09	4.615	5.375	0.1277	6.082	0.1469	34.23	2.285	5.407	0.1347
5.651	0.02601	98.01	1.856	5.629	0.02216	5.621	0.02089	98.49	1.627	5.648	0.01728	6.235	0.01822	100.8	0.8927	6.243	0.0129	6.33	0.01349	100.6	0.6504	6.348	0.01027	6.02	0.01706	99.43	1.197	6.057	0.01443	8.765	0.07125	95.83	3.072	8.444	0.05332	6.351	0.06804	98.87	4.062	7.235	0.03843	7.236	0.03265	102.8	1.99	8.73	0.06362	6.763	0.07352	99.34	4.387	6.214	0.04666	6.9	0.06919	101.2	3.633	6.723	0.04752
NR 	NR 	0	0	0	0	6.722	0.1508	6.398	0.4604	5.686	0.1144	6.682	0.07633	37.61	1.373	6.285	0.05936	6.737	0.04362	41.69	0.8671	6.365	0.03738	6.474	0.07196	20.99	0.7343	5.353	0.05571	8.692	0.08837	80.3	3.022	8.077	0.07912	7.141	0.1311	79.52	5.361	6.902	0.08877	7.863	0.0623	94.96	3.96	8.349	0.03601	8.45	0.2407	106.1	14.32	7.985	0.1157	7.659	0.1656	100.4	6.622	7.443	0.1439
NR 	NR 	0	0	5.502	0.44	NR	NR	0	0	0	0	5.225	0.113	35.82	2.1	4.814	0.03097	5.415	0.0377	41.49	0.8405	5.058	0.03056	5.425	0.08201	21.85	0.9599	4.806	0.06232	7.369	0.1939	155.9	11.97	7.453	0.195	5.819	0.05724	96.56	2.721	5.485	0.04541	6.5	0.06503	96.18	4.122	6.519	0.0429	6.36	0.08901	120.5	5.055	5.91	0.07312	6.143	0.155	100.7	7.257	5.972	0.1303
NR 	NR 	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	NR	NR	0	0	0	0	5.412	0.1367	104.8	6.978	5.016	0.1162	4.819	0.1608	41.7	4.656	2.982	0.1321	5.087	0.106	62.38	5.24	4.73	0.08084	4.785	0.167	60.57	7.327	3.818	0.117	4.537	0.3582	45	11.68	3.806	0.3156
