Buprenorphine	4	3	3	3	3	5	4	4	4	3
DAMGO	4	3	3	3	3	13	4	4	5	7
Endomorphine1	4	3	3	3	3	9	4	4	5	5
Fentanyl	4	3	3	3	3	7	4	4	5	4
Loperamide	4	6	3	6	6	12	4	4	5	7
Meptazinol	4	3	3	15	3	9	9	4	5	7
Met-Enk	18	15	15	3	15	31	22	16	18	44
Morphine	4	3	3	3	3	9	4	4	8	7
Oxycodone	4	6	6	3	6	7	4	4	4	5
Tramadol	4	3	3	3	3	9	5	4	8	6
Cmp 1	3	3	3	3	3	5	4	4	6	1
Cmp 3	3	3	3	3	3	8	4	4	3	6
Cmp 4	3	3	3	3	3	5	4	4	5	6
Cmp 5	4	3	3	3	3	12	5	4	4	8
Cmp 6	3	3	3	3	3	5	5	4	6	3
Cmp 7	4	6	6	6	6	9	4	4	4	6
Cmp 8	3	3	3	3	3	4	4	4	4	4
Cmp 9	2	3	3	3	3	6	9	4	4	5
Cmp 10	3	3	3	3	3	4	8	4	4	4
Cmp 11	5	3	3	3	3	3	4	4	4	4
Cmp 12	5	6	6	6	6	3	4	4	4	4
Cmp 13	5	3	3	3	3	5	4	4	4	4
Cmp 14	5	3	3	3	3	6	4	4	6	4
Cmp 15	5	3	3	3	3	6	8	4	7	5
Cmp 16	5	3	6	3	6	8	8	4	4	4
