Buprenorphine	1	0.04375	0.061111	0.075188	0.085714	0.096	0.042945	0.19048	0.20769	0.10078	0.076923	0.22131	0.32168	0.061224	0.054795	0.076433	0.052632	0.17188	0.07483	0.071895	0.087591	0.080537	0.06338	0.058442	0.070968	1	0.49333	0.56757	0.42254	0.56757	0.57813	0.44156	0.625	0.85938	0.60938	0.47143	0.74194	0.78873	0.44	0.5	0.50617	0.44304	0.69841	0.51316	0.54545	0.625	0.56962	0.51471	0.54054	0.625
DAMGO	0.04375	1	0.2381	0.1453	0.11719	0.07563	0.34167	0.036765	0.042254	0.072581	0.11538	0.068702	0.071429	0.36111	0.21849	0.066667	0.06338	0.076336	0.064286	0.068966	0.12	0.062937	0.12698	0.14925	0.060811	0.49333	1	0.6875	0.45313	0.56522	0.45313	0.80702	0.41176	0.52055	0.50794	0.43939	0.49254	0.58667	0.78571	0.77586	0.37349	0.37662	0.5	0.38961	0.46053	0.45455	0.46835	0.46154	0.55882	0.45333
Endomorphin1	0.061111	0.2381	1	0.13669	0.098684	0.085714	0.29371	0.044304	0.055215	0.068027	0.10458	0.086093	0.073684	0.29545	0.16552	0.088757	0.086957	0.092715	0.08805	0.078313	0.11565	0.08642	0.12925	0.14103	0.052326	0.56757	0.6875	1	0.49231	0.53425	0.42647	0.64615	0.53846	0.57534	0.43478	0.33784	0.48571	0.66216	0.625	0.62121	0.51282	0.5942	0.51471	0.56338	0.55405	0.5625	0.62162	0.57143	0.69231	0.52703
Fentanyl	0.075188	0.1453	0.13669	1	0.19	0.10638	0.12295	0.044643	0.078261	0.10101	0.14151	0.09434	0.098592	0.13889	0.14151	0.12397	0.11404	0.11429	0.12613	0.091667	0.18367	0.14286	0.14563	0.14035	0.064	0.42254	0.45313	0.49231	1	0.61667	0.49091	0.4375	0.30769	0.42857	0.37705	0.42373	0.45902	0.54286	0.36923	0.41538	0.58462	0.61017	0.51724	0.62712	0.49254	0.51786	0.56716	0.58491	0.55738	0.4
Loperamide	0.085714	0.11719	0.098684	0.19	1	0.13	0.097744	0.058824	0.099174	0.13462	0.092437	0.096491	0.11486	0.11864	0.11111	0.12403	0.088	0.10526	0.12605	0.076923	0.14679	0.12295	0.11404	0.12097	0.075758	0.56757	0.56522	0.53425	0.61667	1	0.59016	0.50704	0.38889	0.57534	0.62295	0.57143	0.57576	0.64	0.52941	0.48611	0.51282	0.48649	0.58462	0.52055	0.49351	0.5873	0.53846	0.62295	0.57143	0.52703
Meptazinol	0.096	0.07563	0.085714	0.10638	0.13	1	0.07377	0.07767	0.1028	0.18391	0.074766	0.15789	0.086957	0.083333	0.095238	0.13043	0.070796	0.18085	0.14423	0.15741	0.35802	0.099099	0.16667	0.14815	0.10435	0.57813	0.45313	0.42647	0.49091	0.59016	1	0.41538	0.39344	0.5873	0.64706	0.52727	0.71154	0.5	0.4127	0.37313	0.47143	0.37681	0.69231	0.45455	0.5625	0.77083	0.4	0.55556	0.46154	0.46269
Met-Enkephalin	0.042945	0.34167	0.29371	0.12295	0.097744	0.07377	1	0.035971	0.041379	0.054264	0.11278	0.067164	0.057803	0.41509	0.22314	0.065359	0.062069	0.074627	0.062937	0.067568	0.11719	0.061644	0.12403	0.14599	0.052632	0.44156	0.80702	0.64615	0.4375	0.50704	0.41538	1	0.43939	0.48649	0.46875	0.44615	0.45588	0.55263	0.76786	0.78947	0.36145	0.36364	0.44118	0.37662	0.42857	0.43939	0.4557	0.44615	0.56716	0.47945
Morphine	0.19048	0.036765	0.044304	0.044643	0.058824	0.07767	0.035971	1	0.13913	0.074074	0.057851	0.10811	0.18978	0.04	0.04065	0.051471	0.03876	0.078261	0.064516	0.053435	0.069565	0.062992	0.05042	0.045802	0.052632	0.625	0.41176	0.53846	0.30769	0.38889	0.39344	0.43939	1	0.63492	0.38095	0.42623	0.5082	0.6087	0.46032	0.46154	0.37662	0.4	0.51667	0.45588	0.43056	0.51724	0.5	0.45	0.50769	0.60317
Oxycodone	0.20769	0.042254	0.055215	0.078261	0.099174	0.1028	0.041379	0.13913	1	0.11818	0.062992	0.14035	0.20567	0.045802	0.054688	0.086957	0.068182	0.11017	0.094488	0.058394	0.083333	0.083969	0.056	0.058824	0.097015	0.85938	0.52055	0.57534	0.42857	0.57534	0.5873	0.48649	0.63492	1	0.59375	0.47826	0.72581	0.8	0.46575	0.50685	0.49383	0.44872	0.68254	0.52	0.51282	0.60938	0.57692	0.5	0.52703	0.61111
Tramadol	0.10078	0.072581	0.068027	0.10101	0.13462	0.18391	0.054264	0.074074	0.11818	1	0.090909	0.13861	0.099291	0.06087	0.081081	0.125	0.067797	0.11538	0.13761	0.092437	0.13861	0.094828	0.083333	0.075	0.11864	0.60938	0.50794	0.43478	0.37705	0.62295	0.64706	0.46875	0.38095	0.59375	1	0.50877	0.625	0.48649	0.4918	0.46875	0.36364	0.32877	0.55172	0.38028	0.43662	0.61111	0.40789	0.45763	0.42647	0.53846
Compound-1	0.076923	0.11538	0.10458	0.14151	0.092437	0.074766	0.11278	0.057851	0.062992	0.090909	1	0.08547	0.063694	0.11667	0.11864	0.097015	0.078125	0.07563	0.096774	0.083969	0.076271	0.112	0.20561	0.11905	0.13386	0.47143	0.43939	0.33784	0.42373	0.57143	0.52727	0.44615	0.42623	0.47826	0.50877	1	0.4918	0.42857	0.46774	0.44615	0.34615	0.31081	0.47541	0.36111	0.41667	0.5	0.38961	0.50877	0.38571	0.53846
Compound-3	0.22131	0.068702	0.086093	0.09434	0.096491	0.15789	0.067164	0.10811	0.14035	0.13861	0.08547	1	0.18248	0.075	0.08547	0.092308	0.072581	0.30851	0.10084	0.11382	0.15094	0.089431	0.10714	0.096774	0.077519	0.74194	0.49254	0.48571	0.45902	0.57576	0.71154	0.45588	0.5082	0.72581	0.625	0.4918	1	0.61972	0.45455	0.47761	0.48649	0.41667	0.9	0.47143	0.55072	0.64286	0.47368	0.54237	0.47826	0.54412
Compound-4	0.32168	0.071429	0.073684	0.098592	0.11486	0.086957	0.057803	0.18978	0.20567	0.099291	0.063694	0.18248	1	0.062893	0.063694	0.076923	0.054878	0.16429	0.075472	0.066265	0.08	0.080745	0.058065	0.073171	0.052941	0.78873	0.58667	0.66216	0.54286	0.64	0.5	0.55263	0.6087	0.8	0.48649	0.42857	0.61972	1	0.51316	0.55263	0.57317	0.5125	0.62857	0.58442	0.51807	0.58571	0.65823	0.52778	0.61333	0.58974
Compound-5	0.061224	0.36111	0.29545	0.13889	0.11864	0.083333	0.41509	0.04	0.045802	0.06087	0.11667	0.075	0.062893	1	0.24074	0.071942	0.068702	0.083333	0.069767	0.074627	0.13158	0.068182	0.13913	0.1626	0.057971	0.44	0.78571	0.625	0.36923	0.52941	0.4127	0.76786	0.46032	0.46575	0.4918	0.46774	0.45455	0.51316	1	0.73684	0.3253	0.32468	0.46154	0.37333	0.40789	0.46032	0.4	0.4	0.5	0.43836
Compound-6	0.054795	0.21849	0.16552	0.14151	0.11111	0.095238	0.22314	0.04065	0.054688	0.081081	0.11864	0.08547	0.063694	0.24074	1	0.072993	0.078125	0.084746	0.088	0.083969	0.094828	0.069231	0.15179	0.175	0.066667	0.5	0.77586	0.62121	0.41538	0.48611	0.37313	0.78947	0.46154	0.50685	0.46875	0.44615	0.47761	0.55263	0.73684	1	0.36145	0.38158	0.48485	0.39474	0.42857	0.39706	0.49351	0.42424	0.52174	0.5
Compound-7	0.076433	0.066667	0.088757	0.12397	0.12403	0.13043	0.065359	0.051471	0.086957	0.125	0.097015	0.092308	0.076923	0.071942	0.072993	1	0.16794	0.10853	0.41121	0.082759	0.10078	0.20313	0.090909	0.083333	0.089041	0.50617	0.37349	0.51282	0.58462	0.51282	0.47143	0.36145	0.37662	0.49383	0.36364	0.34615	0.48649	0.57317	0.3253	0.36145	1	0.78462	0.49315	0.82813	0.65753	0.49296	0.68	0.47887	0.56757	0.50633
Compound-8	0.052632	0.06338	0.086957	0.11404	0.088	0.070796	0.062069	0.03876	0.068182	0.067797	0.078125	0.072581	0.054878	0.068702	0.078125	0.16794	1	0.089431	0.16393	0.064748	0.064	0.16	0.08871	0.088889	0.071429	0.44304	0.37662	0.5942	0.61017	0.48649	0.37681	0.36364	0.4	0.44872	0.32877	0.31081	0.41667	0.5125	0.32468	0.38158	0.78462	1	0.44286	0.84746	0.59155	0.46269	0.76119	0.51563	0.63636	0.5
Compound-9	0.17188	0.076336	0.092715	0.11429	0.10526	0.18085	0.074627	0.078261	0.11017	0.11538	0.07563	0.30851	0.16429	0.083333	0.084746	0.10853	0.089431	1	0.11864	0.13115	0.16038	0.10656	0.10619	0.10484	0.060606	0.69841	0.5	0.51471	0.51724	0.58462	0.69231	0.44118	0.51667	0.68254	0.55172	0.47541	0.9	0.62857	0.46154	0.48485	0.49315	0.44286	1	0.5	0.55882	0.65455	0.5	0.55172	0.50746	0.50725
Compound-10	0.07483	0.064286	0.08805	0.12613	0.12605	0.14423	0.062937	0.064516	0.094488	0.13761	0.096774	0.10084	0.075472	0.069767	0.088	0.41121	0.16393	0.11864	1	0.065693	0.11017	0.31193	0.090164	0.090226	0.080292	0.51316	0.38961	0.56338	0.62712	0.52055	0.45455	0.37662	0.45588	0.52	0.38028	0.36111	0.47143	0.58442	0.37333	0.39474	0.82813	0.84746	0.5	1	0.56164	0.52308	0.77612	0.53125	0.65152	0.53425
